Cód.,Persona ID,Persona,CUIT/CUIL/CDI,MC Cód.,MC,Tipo Cuenta,Entidad Bursátil
144044,15117,FIRST CAPITAL MARKETS SA,30712239383,627,BANCO DE VALORES S A,CEL,MtR
155060,6000515,UALINTEC INVERSIONES SAU SOCIEDAD GERENTE DE FONDOS COMUNES DE INVERSION,30716658984,627,BANCO DE VALORES S A,CEL,MtR
158851,1800193,NOVUS ASSET MANAGEMENT S.A.,30716485419,627,BANCO DE VALORES S A,CEL,MtR
1628,2688,BANCO MACRO SOCIEDAD ANONIMA,30500010084,628,BANCO MACRO SOCIEDAD ANONIMA,Propia,MtR
143100,11197,ARGENFUNDS S.A.,30711596603,628,BANCO MACRO SOCIEDAD ANONIMA,CEL,MtR
102750,422,AGRICULTORES FEDERADOS ARGENTINOS SOC COOP LTDA,30525718626,64,AGRICULTORES FEDERADOS ARGENTINOS SOC COOP LTDA,Propia,MtR
1064,422,AGRICULTORES FEDERADOS ARGENTINOS SOC COOP LTDA,30525718626,64,AGRICULTORES FEDERADOS ARGENTINOS SOC COOP LTDA,Terceros,MtR
1065,918496,JOVICER SOCIEDAD ANONIMA,30598076452,65,JOVICER SOCIEDAD ANONIMA,Terceros,MtR
103180,918496,JOVICER SOCIEDAD ANONIMA,30598076452,65,JOVICER SOCIEDAD ANONIMA,Propia,MtR
103275,3786,AVIGLIANO Y CIA SRL,30708556080,66,AVIGLIANO Y CIA SRL,Propia,MtR
1066,3786,AVIGLIANO Y CIA SRL,30708556080,66,AVIGLIANO Y CIA SRL,Terceros,MtR
103500,1867,WALTER PONCIO Y CIA S.A,30707268405,68,WALTER PONCIO Y CIA S.A,Propia,MtR
1068,1867,WALTER PONCIO Y CIA S.A,30707268405,68,WALTER PONCIO Y CIA S.A,Terceros,MtR
85000,2041604,VILCO INVERSIONES S.A.,30715478281,7,VILCO INVERSIONES S.A.,Propia,MtR
1070,719,MOLINOS RIO DE LA PLATA S A,30500858628,70,MOLINOS RIO DE LA PLATA S A,Terceros,MtR
2708,719,MOLINOS RIO DE LA PLATA S A,30500858628,70,MOLINOS RIO DE LA PLATA S A,Propia,MtR
44347,4132,SJB S. A.,30539556785,707,SJB S. A.,Propia,MtR
104100,517,SOLA CEREALES S A,33632186849,72,SOLA CEREALES S A,Propia,MtR
1072,517,SOLA CEREALES S A,33632186849,72,SOLA CEREALES S A,Terceros,MtR
104150,6424,CENTRO CORREDORA S.A.,30708242124,74,CENTRO CORREDORA S.A.,Propia,MtR
1074,6424,CENTRO CORREDORA S.A.,30708242124,74,CENTRO CORREDORA S.A.,Terceros,MtR
1077,759,MANDATO SRL,30654352387,77,MANDATO SRL,Terceros,MtR
2744,759,MANDATO SRL,30654352387,77,MANDATO SRL,Propia,MtR
77000,8757,VERSATIL INVERSIONES Y TRANSACCIONES  S.A.,30710552254,77000,VERSATIL INVERSIONES Y TRANSACCIONES  S.A.,Propia,MtR
1078,647855,PEDRA GONZALEZ Y CIA S A,30554727596,78,PEDRA GONZALEZ Y CIA S A,Terceros,MtR
104200,647855,PEDRA GONZALEZ Y CIA S A,30554727596,78,PEDRA GONZALEZ Y CIA S A,Propia,MtR
1079,787,DUKAREVICH S A,30517535571,79,DUKAREVICH S A,Terceros,MtR
